scenario,method,lambda,iterations,rank,psnr,ssim,rel_error,support_precision,support_recall,support_f1
portrait_text,RPCA,0.04743416490252569,32,21,29.900233468100996,0.9809980373239768,0.08442680968952684,0.6413499161542761,0.49737198591167703,0.5602587969598644
portrait_block,RPCA,0.023717082451262844,29,7,19.72033157546926,0.8404942725369767,0.2702974846516488,0.039975253414552894,0.9999999999999988,0.07687731661549373
portrait_salt,RPCA,0.11858541225631422,33,144,54.50076872503331,0.999510191929721,0.008639979583709689,0.6925457102672291,0.9999999999999997,0.8183480139599617
portrait_salt,Median(3x3),0.0,1,160,30.72202969150878,0.9400421994872877,0.07616294645510265,0.0,0.0,0.0
texture_text,RPCA,0.023717082451262844,29,4,43.48307606283758,0.9984684794229949,0.01105194649434437,0.7011583511292305,0.5572699686262408,0.6209880788624134
texture_block,RPCA,0.023717082451262844,29,5,42.23709266360166,0.9976760111224015,0.01275668829019622,0.6678855948805015,0.5293447883241901,0.5905993763709122
texture_salt,RPCA,0.11858541225631422,24,5,inf,0.9999999910895473,8.897530587671341e-07,0.9999999999999997,0.9999999999999997,0.9999999999994997
texture_salt,Median(3x3),0.0,1,160,48.41453265861876,0.994981694929631,0.006264204741476688,0.0,0.0,0.0
