task,method,psnr,ssim,rel_error,support_f1,iterations,matrix_error
repair_sparse_low_rank_texture,SparseLowRankTexture,19.00312815743362,0.8911872142809073,0.19259990584564213,0.16631726065643815,840,
repair_sparse_low_rank_texture,RPCA,16.35118254423097,0.8327334190358491,0.2613685636088119,0.10795974382411312,32,
tilt_affine,TILT,19.544457460587775,0.917465464483989,0.1676338959832473,0.0,9,0.0027042849922369948
tilt_projective,TILT,19.744945847499807,0.9208713382439417,0.16380887180652748,0.0,8,0.006145974990281584
