scale,lambda,psnr,ssim,rank,sparse_ratio
0.4,0.0316227766016838,22.865068657671998,0.9373879035563867,10,0.9840625
0.6,0.04743416490252569,34.06780904558965,0.9933755798615297,27,0.8162109375
0.8,0.0632455532033676,46.083808229015375,0.998608630292149,48,0.605234375
1.0,0.07905694150420949,50.72536798618419,0.99905431513705,80,0.4671484375
1.2,0.09486832980505137,53.05653417059496,0.9992798793580103,117,0.356640625
1.5,0.11858541225631422,54.50076872503331,0.999510191929721,144,0.22359375
1.8,0.14230249470757708,52.20970137417594,0.9991977484705334,154,0.146640625
